X,Y,TX1_1,TX1_2,TX1_3,TX1_4,TX1_5,TX1_6,TX1_7,TX1_8,TX1_9,TX2_1,TX2_2,TX2_3,TX2_4,TX2_5,TX2_6,TX2_7,TX2_8,TX2_9
0,7,-0.0288945516768,0.0838159413591,0.0087738214243,0.0087738214243,0.0176191553263,-0.0687880600453,-0.0838159413591,-0.0976826117221,-0.0176191553263,0.00227160986345,0.00439717719822,-0.00212609119294,0.004908260439,0.000565025461288,-0.000389968143354,-0.0018104160421,-0.00290591987404,-0.00276260293881
4,8,0.00645080989602,0.0514223881714,0.0043537652798,0.0043537652798,0.00537546876525,-0.0347427150921,-0.0514223881714,-0.028291905196,-0.00537546876525,0.00252891724951,0.00715906193247,-0.00338341183548,0.0080425589369,0.00217852422982,-0.000714997041964,-0.0022594263492,-0.00481791991827,-0.00442865527259
5,2,0.0958148637802,0.0819722394619,0.0144837066786,0.0144837066786,0.00720637504694,-0.0676634463774,-0.0819722394619,0.0281514174028,-0.00720637504694,-0.000182356323063,0.00416034728022,-0.00204370730847,0.00473721212488,0.00340138193036,-0.000577273303211,-0.000352211814103,-0.00297924482726,-0.00278894037763
6,8,0.0132888522921,0.0382605857031,0.00325911313384,0.00325911313384,0.00320633727946,-0.02532837498,-0.0382605857031,-0.0120395226879,-0.00320633727946,0.0013922790802,0.00789935784785,-0.00387099057766,0.00901042386871,0.00404241728074,-0.0010453205928,-0.00182203097015,-0.00561905370073,-0.00491435343619
1,14,-0.0105125578605,0.0147353026271,0.000695283120869,0.000695283120869,0.00197359329766,-0.0156105782438,-0.0147353026271,-0.0261231361044,-0.00197359329766,0.00624830800267,0.00630389949318,-0.00388275738353,0.00699892544453,-0.00202465571309,-0.000595398496982,-0.00478186733297,-0.00426299349454,-0.00446531606264
3,14,-0.00661073034328,0.0168983420394,0.00117521658154,0.00117521658154,0.0024807412192,-0.0144435581055,-0.0168983420394,-0.0210542884488,-0.0024807412192,0.00745692484499,0.00994552832628,-0.00541098937327,0.0110978921252,-0.00104146472499,-0.000934501500964,-0.00580138814464,-0.00667681559222,-0.00653085286982
1,1,0.263098078064,0.353194545924,0.0866142463092,0.0866142463092,0.0586660696194,-0.243969571331,-0.353194545924,0.0191285067333,-0.0586660696194,0.0010459864258,0.00312497338742,-0.00129288406462,0.00342424806674,0.00106092027466,-0.000162819620688,-0.00076352779214,-0.00191291882393,-0.00197912595964
0,10,-0.0220322130314,0.0367296399173,0.00301894207145,0.00301894207145,0.00773654800803,-0.0357288932271,-0.0367296399173,-0.0577611062585,-0.00773654800803,0.00354815516955,0.00533408851215,-0.00281860032432,0.00597140933649,-0.000136307016571,-0.000519510360493,-0.00282435275204,-0.00359787220384,-0.00342075889169
1,6,-0.00716000516765,0.109568941255,0.0120568207165,0.0120568207165,0.0181564702669,-0.0779214471353,-0.109568941255,-0.085081452303,-0.0181564702669,0.00222572875296,0.00532568359912,-0.00239603808347,0.00590559667252,0.0012749232752,-0.000399604087032,-0.00173782695586,-0.00341943214504,-0.00334214988913
8,12,0.00337162367013,0.0190912788424,0.00109868169525,0.00109868169525,0.00128800649979,-0.0128392939575,-0.0190912788424,-0.00946767028736,-0.00128800649979,0.00356076681456,0.0144771907079,-0.00720460896455,0.0165337982786,0.00611519059914,-0.00192661318472,-0.00406804282165,-0.0103283012397,-0.00887949906803
